season,week,dates,manager,team_name,fgm,fga,ftm,fta,tpm,pts,reb,ast,stl,blk,tov,gp,cats_won,opponent_manager
2025-26,1,10/21-10/26,David,JAMAL AL-QUETA,213,454,118,136,69,613,182,100,42,30,68,32,8,Kyle
2025-26,1,10/21-10/26,Kyle,ur my only hope Anti-wan,192,429,95,116,56,535,174,87,36,19,68,29,0,David
2025-26,2,10/27-11/2,David,JAMAL AL-QUETA,293,579,120,145,92,798,219,156,41,21,70,44,7,Christian Oblena
2025-26,2,10/27-11/2,Christian Oblena,Itsy Bitsy Spida,204,445,114,133,89,611,211,119,25,29,77,46,2,David
2025-26,3,11/3-11/9,David,JAMAL AL-QUETA,247,541,123,140,85,702,239,148,68,43,61,46,5,William
2025-26,3,11/3-11/9,William,The Konclave,266,569,147,180,58,737,309,172,52,23,105,42,4,David
2025-26,4,11/10-11/16,David,JAMAL AL-QUETA,211,484,125,147,63,610,177,150,33,24,67,43,3,Justin
2025-26,4,11/10-11/16,Justin,IM SO HORT,231,503,99,125,76,637,207,166,36,20,68,40,6,David
2025-26,5,11/17-11/23,David,JAMAL AL-QUETA,246,479,124,151,65,681,247,174,42,34,69,44,4,Kevin
2025-26,5,11/17-11/23,Kevin,All guards no defense,257,533,135,156,86,735,220,177,50,18,80,38,5,David
2025-26,6,11/24-11/30,David,JAMAL AL-QUETA,289,561,129,152,79,786,228,154,36,21,62,43,8,Hegi
2025-26,6,11/24-11/30,Hegi,Not hurt just SARR,216,437,123,158,59,614,217,138,31,23,73,37,1,David
2025-26,7,12/1-12/7,David,JAMAL AL-QUETA,257,515,112,132,79,705,190,169,52,16,61,46,5,Martin
2025-26,7,12/1-12/7,Martin,HalleLuka Amen,263,568,140,173,68,734,265,171,38,31,107,45,4,David
2025-26,8,12/8-12/14,David,JAMAL AL-QUETA,133,259,51,66,45,362,98,85,27,16,35,21,7,Robert
2025-26,8,12/8-12/14,Robert,Gotta Be Bamonte,87,189,49,63,27,250,79,46,11,7,28,27,2,David
2025-26,9,12/15-12/21,David,JAMAL AL-QUETA,241,497,115,146,88,685,185,140,39,27,67,38,6,John
2025-26,9,12/15-12/21,John,John's Cool Team,207,422,91,111,38,543,208,95,28,19,73,29,3,David
2025-26,10,12/22-12/28,David,JAMAL AL-QUETA,255,540,132,159,84,726,226,170,46,35,71,41,7,Noah
2025-26,10,12/22-12/28,Noah,Devin Minutes in Heaven,257,553,166,214,67,747,250,169,33,16,92,39,2,David
2025-26,11,12/29-1/4,David,JAMAL AL-QUETA,312,644,138,165,100,862,244,179,50,25,76,45,5,JCo
2025-26,11,12/29-1/4,JCo,Wing Chun Wemby,233,459,126,151,58,650,266,143,34,27,75,43,4,David
2025-26,12,1/5-1/11,David,JAMAL AL-QUETA,278,614,122,142,102,780,279,179,55,33,98,48,7,Kyle
2025-26,12,1/5-1/11,Kyle,ur my only hope Anti-wan,293,621,93,126,72,751,264,168,54,30,95,45,2,David
2025-26,13,1/12-1/18,David,JAMAL AL-QUETA,236,477,136,159,70,678,165,142,43,25,72,43,4,Christian Oblena
2025-26,13,1/12-1/18,Christian Oblena,Itsy Bitsy Spida,213,469,87,102,90,603,227,144,39,28,70,46,5,David
2025-26,14,1/19-1/25,David,JAMAL AL-QUETA,266,519,105,131,76,713,211,162,46,29,73,43,5,William
2025-26,14,1/19-1/25,William,The Konclave,237,476,131,160,78,683,270,142,44,30,109,45,4,David
2025-26,15,1/26-2/1,David,JAMAL AL-QUETA,286,616,125,150,90,787,269,210,62,36,95,46,6,Justin
2025-26,15,1/26-2/1,Justin,IM SO HORT,195,406,81,93,58,529,209,156,44,32,77,44,3,David
2025-26,16,2/2-2/8,David,JAMAL AL-QUETA,258,543,111,132,87,714,235,150,50,13,67,45,8,Kevin
2025-26,16,2/2-2/8,Kevin,All guards no defense,239,549,111,144,77,666,191,137,33,25,71,45,1,David
2025-26,17,2/9-2/22,David,JAMAL AL-QUETA,312,667,155,188,81,860,345,189,51,41,95,56,4,Hegi
2025-26,17,2/9-2/22,Hegi,Not hurt just SARR,324,657,183,237,85,916,305,215,68,26,107,55,5,David
2025-26,18,2/23-3/1,David,JAMAL AL-QUETA,234,467,99,126,60,627,255,124,45,28,59,41,4,Martin
2025-26,18,2/23-3/1,Martin,HalleLuka Amen,282,581,133,179,93,790,257,178,51,27,88,48,5,David
2025-26,19,3/2-3/8,David,JAMAL AL-QUETA,262,524,150,182,63,737,282,160,49,32,76,47,2,JCo
2025-26,19,3/2-3/8,JCo,Wing Chun Wemby,273,499,124,164,77,747,291,180,50,41,99,43,7,David
