name,team,pos,gp,mpg,fgp,fga,ftp,fta,tpm,pts,reb,ast,stl,blk,tov
Nikola Jokic,DEN,C,72,34,0.580,19.0,0.820,7.0,1.4,28.0,12.8,10.5,1.4,0.7,3.3
Victor Wembanyama,SAS,C,70,34,0.500,19.5,0.840,6.5,2.9,26.5,11.5,4.0,1.2,3.6,3.2
Shai Gilgeous-Alexander,OKC,PG,75,34,0.530,21.0,0.900,8.5,2.2,31.0,5.0,6.4,1.8,0.9,2.4
Luka Doncic,LAL,"PG,SG",68,36,0.470,21.5,0.780,8.5,3.4,30.0,8.6,8.6,1.5,0.5,3.9
Anthony Edwards,MIN,"PG,SG",74,36,0.460,21.0,0.840,6.5,4.0,28.5,5.8,4.8,1.3,0.6,3.3
Cade Cunningham,DET,"PG,SG",72,35,0.470,20.5,0.850,6.5,2.3,26.5,6.2,9.2,1.1,0.7,4.1
Jayson Tatum,BOS,"SF,PF",65,34,0.450,19.0,0.820,6.0,3.1,25.5,8.3,5.5,1.1,0.5,2.9
Chet Holmgren,OKC,"PF,C",65,30,0.520,12.5,0.800,4.5,1.5,17.5,8.5,2.2,0.9,2.4,1.6
Karl-Anthony Towns,NYK,"C,PF",70,34,0.520,17.0,0.830,5.5,2.2,24.0,12.3,3.2,1.0,0.8,2.9
Giannis Antetokounmpo,MIA,"PF,C",67,33,0.600,18.5,0.620,10.5,0.4,29.0,11.5,6.0,0.9,1.2,3.3
Domantas Sabonis,SAC,"C,PF",70,34,0.600,13.5,0.750,5.0,0.5,19.5,13.5,6.8,0.8,0.5,3.2
Devin Booker,PHX,"SG,PG",72,36,0.470,20.0,0.890,7.0,2.4,27.0,4.5,7.0,1.0,0.3,3.1
Tyrese Maxey,PHI,PG,70,36,0.450,20.0,0.880,6.0,3.4,26.0,3.6,6.0,1.5,0.4,2.5
Donovan Mitchell,CLE,"SG,PG",70,33,0.460,19.0,0.860,5.5,3.3,25.0,4.4,5.0,1.4,0.3,2.7
Bam Adebayo,MIA,"C,PF",72,34,0.530,14.0,0.770,5.0,0.6,17.5,10.5,4.0,1.1,1.1,2.3
Evan Mobley,CLE,"C,PF",74,33,0.560,13.5,0.740,4.5,0.8,19.0,9.5,3.4,0.9,1.6,2.0
Scottie Barnes,TOR,"SF,PF,C",70,34,0.470,16.0,0.740,5.0,1.3,20.0,8.0,6.5,1.4,1.1,2.9
Jalen Brunson,NYK,PG,72,34,0.480,19.0,0.820,6.5,2.3,25.5,3.0,7.0,0.9,0.1,2.5
De'Aaron Fox,SAS,PG,70,33,0.470,18.0,0.740,5.5,1.7,22.5,4.5,6.5,1.6,0.4,2.8
Trae Young,WAS,PG,70,35,0.420,17.5,0.870,6.5,3.0,23.5,3.2,10.8,1.2,0.2,4.5
