player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,rank,adp,ht_total
Nikola Jokic,DEN,C,72,35.1,0.573,18.3,0.816,6.8,1.8,28.4,12.7,10.4,1.6,0.7,3.5,1,1.7,15.96
Victor Wembanyama,SA,C,66,30.4,0.502,18.3,0.831,6.1,2.2,25.6,11.8,3.6,1.1,3.2,2.9,2,2.9,14.39
Shai Gilgeous-Alexander,OKC,PG,71,33.5,0.534,20.7,0.889,8.9,1.9,32.1,4.7,6.5,1.6,0.9,2.3,3,3.1,14.17
Luka Doncic,LAL,PG,68,35.4,0.465,22.9,0.781,9.6,4.0,32.7,8.7,8.8,1.7,0.5,4.0,4,4.6,10.94
Giannis Antetokounmpo,MIA,PF/C,69,34.2,0.608,19.9,0.628,11.0,0.3,31.4,11.9,6.5,1.0,1.1,3.3,5,5.3,10.31
Cade Cunningham,DET,PG,68,33.9,0.466,19.7,0.826,5.6,2.0,25.0,5.8,9.8,1.3,0.8,4.1,6,8.2,7.80
Anthony Edwards,MIN,SG/SF,74,35.3,0.487,20.0,0.818,6.6,3.7,28.7,5.6,3.5,1.2,0.7,3.0,7,6.8,7.62
Tyrese Maxey,PHI,PG/SG,70,36.1,0.458,18.2,0.885,5.2,2.8,24.2,3.4,5.8,1.8,0.5,2.2,8,16.3,7.59
Jayson Tatum,BOS,SF/PF,68,33.7,0.464,19.4,0.815,5.8,3.3,26.1,8.8,5.8,1.2,0.5,2.8,9,11.3,7.54
Stephen Curry,GS,PG,60,31.6,0.456,18.3,0.929,4.6,4.4,25.4,3.6,5.2,1.0,0.4,2.9,10,21.1,7.52
Kevin Durant,HOU,SF/PF,70,34.6,0.523,16.8,0.860,5.6,2.3,24.7,5.4,4.3,0.8,1.0,2.9,11,25.9,7.26
Anthony Davis,WAS,PF/C,65,31.1,0.514,16.8,0.767,6.1,0.6,22.5,10.9,3.2,1.1,1.9,2.1,12,12.8,7.23
Donovan Mitchell,CLE,PG/SG,72,33.4,0.464,20.1,0.846,5.8,3.3,26.9,4.7,5.4,1.5,0.3,2.6,13,21.7,6.84
Tyrese Haliburton,IND,PG/SG,63,30.9,0.467,13.0,0.852,2.8,2.8,17.3,3.3,9.6,1.3,0.6,1.5,14,73.2,6.55
Jamal Murray,DEN,PG,73,34.8,0.478,17.2,0.887,4.4,2.8,23.2,4.1,6.5,1.1,0.4,2.1,15,36.2,6.54
Karl-Anthony Towns,NY,C,73,31.3,0.514,14.7,0.844,5.4,1.7,21.3,11.8,2.9,0.9,0.6,2.5,16,14.4,6.47
Cooper Flagg,DAL,SF/PF,72,34.1,0.475,18.5,0.836,5.3,1.3,23.3,7.3,4.9,1.3,1.0,2.2,17,23.2,6.39
Jalen Johnson,ATL,PF,72,35.1,0.482,16.8,0.786,4.7,1.5,21.4,10.2,6.9,1.4,0.6,3.3,18,31.9,6.38
Kawhi Leonard,TOR,SF/PF,65,31.1,0.491,17.5,0.872,5.0,2.2,23.7,5.0,3.0,1.7,0.4,1.9,19,49.7,6.38
Trae Young,WAS,PG,70,33.4,0.436,16.0,0.868,7.1,2.7,22.8,2.9,10.8,1.1,0.2,4.3,20,22.2,6.14
Trey Murphy III,NO,SG/SF,68,35.2,0.463,16.0,0.888,4.0,3.2,21.6,5.5,3.7,1.3,0.5,1.9,21,73.1,5.98
Scottie Barnes,TOR,SG/SF,80,34.2,0.477,15.7,0.784,4.3,1.0,19.4,7.9,6.1,1.5,1.3,2.8,22,29.5,5.96
Chet Holmgren,OKC,PF/C,70,29.7,0.536,11.7,0.780,4.4,1.4,17.3,9.1,1.9,0.7,2.1,1.7,23,43.0,5.88
James Harden,CLE,PG/SG,72,33.4,0.421,14.0,0.878,6.4,2.6,20.0,4.6,8.2,1.1,0.5,3.4,24,18.1,5.81
Austin Reaves,LAL,PG/SG,70,34.4,0.472,14.5,0.874,5.9,2.6,21.5,4.6,5.7,1.1,0.3,2.6,25,51.9,5.59
Evan Mobley,CLE,PF/C,72,32.5,0.552,13.7,0.665,4.7,1.1,19.3,9.6,3.6,0.8,1.8,2.1,26,33.8,5.25
Kyrie Irving,DAL,PG,55,31.8,0.484,15.5,0.899,3.7,2.4,20.7,4.0,4.9,1.1,0.4,1.9,27,90.5,4.91
Jaren Jackson Jr.,UTA,PF/C,67,30.7,0.483,16.4,0.788,5.1,2.0,21.8,5.8,2.1,1.2,1.5,2.2,28,73.0,4.85
Amen Thompson,HOU,SG/SF,76,36.2,0.539,13.0,0.760,4.9,0.4,18.1,7.9,4.2,1.5,1.0,2.2,29,20.2,4.75
Dejounte Murray,NO,PG/SG,65,30.7,0.456,13.8,0.836,3.8,1.6,17.3,6.1,7.1,1.8,0.3,3.4,30,127.4,4.70
Devin Booker,PHO,PG/SG,68,33.5,0.459,17.9,0.884,6.9,2.1,24.6,3.8,6.3,0.8,0.2,2.9,31,20.3,4.65
Lauri Markkanen,UTA,SF/PF,65,34.1,0.452,17.8,0.886,5.4,3.0,23.8,6.7,1.9,0.9,0.5,1.5,32,85.3,4.62
Desmond Bane,ORL,SG/SF,76,33.6,0.484,14.5,0.904,3.5,2.2,19.4,4.9,4.6,1.1,0.4,2.2,33,49.2,4.52
Walker Kessler,LAL,C,68,30.2,0.666,7.3,0.570,2.6,0.5,11.8,10.8,1.8,0.7,2.2,1.9,34,75.7,4.41
Josh Giddey,CHI,PG/SG,70,32.0,0.457,12.7,0.771,3.8,1.8,16.3,8.5,8.4,1.2,0.6,3.3,35,31.8,4.41
Zach Edey,MEM,C,65,25.8,0.619,8.5,0.775,3.2,0.3,13.3,10.3,1.2,0.7,1.8,1.8,36,126.8,4.36
Jalen Duren,DET,C,70,28.4,0.652,10.7,0.738,5.2,0.0,17.7,11.1,2.5,0.8,0.9,1.9,37,66.7,4.33
Darius Garland,LAC,PG,68,31.4,0.468,16.1,0.872,3.3,2.9,20.8,2.8,7.0,1.2,0.2,2.8,38,90.7,4.32
Jalen Williams,OKC,SF/PF,68,31.2,0.484,16.0,0.805,4.3,1.5,20.4,5.2,5.3,1.5,0.6,2.1,39,32.4,4.23
Domantas Sabonis,SAC,PF/C,70,30.7,0.581,11.5,0.749,3.8,0.7,17.0,12.3,5.2,0.7,0.3,2.6,40,20.2,4.15
