player,team,pos,rank,value,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov
Nikola Jokić,DEN,C,2,62.777,65.5,35.0,0.5671,17.68,0.8185,6.64,1.7,27.19,12.3,9.93,1.49,0.75,3.43
Giannis Antetokounmpo,MIA,PF,3,58.367,65,33.6,0.6033,20.0,0.6369,11.06,0.47,31.65,11.08,6.56,1.0,0.96,3.5
Luka Dončić,LAL,PG,1,64.125,61.0,35.8,0.4731,24.65,0.7824,10.28,4.28,35.64,8.17,8.67,1.68,0.53,3.88
Victor Wembanyama,SAS,C,4,54.001,65,30.5,0.5086,16.05,0.8308,5.73,2.08,23.17,11.36,3.23,1.11,3.28,2.5
Shai Gilgeous-Alexander,OKC,PG,6,51.419,67.6,33.2,0.538,19.68,0.8834,8.58,1.77,30.53,4.65,6.3,1.53,0.84,2.23
Jayson Tatum,BOS,PF/SF,5,53.103,68,35.0,0.4451,21.99,0.8191,6.65,3.62,28.64,9.04,6.06,1.17,0.48,2.8
Cade Cunningham,DET,PG,7,51.114,65.1,32.9,0.4691,19.98,0.8287,5.82,2.12,25.69,5.68,9.66,1.27,0.77,3.73
Tyrese Maxey,PHI,PG,28,42.687,63.4,36.0,0.4658,18.25,0.8922,5.1,2.8,24.35,3.85,5.8,1.4,0.45,2.05
Donovan Mitchell,CLE,PG/SG,18,44.723,67.2,34.0,0.4678,19.84,0.8509,5.83,3.25,26.77,4.5,5.5,1.45,0.28,2.6
Trae Young,WAS,PG,29,42.581,67.5,33.2,0.4249,16.11,0.8585,6.78,2.57,22.08,2.98,10.04,1.1,0.21,3.96
Scottie Barnes,TOR,PF/SF,27,42.922,69.0,32.4,0.4916,14.62,0.797,3.98,1.04,18.59,7.62,5.97,1.37,1.26,2.62
Anthony Edwards,MIN,PG/SG,10,46.91,66.0,34.9,0.4771,20.72,0.8167,6.95,3.61,29.06,5.38,4.2,1.32,0.73,2.91
Cooper Flagg,DAL,PG/SF/SG,13,45.948,67.0,34.3,0.4863,18.72,0.8356,5.48,1.26,24.04,7.2,5.18,1.36,1.02,2.46
Karl-Anthony Towns,NYK,C/PF,22,43.719,68.9,32.5,0.5169,14.8,0.8611,5.4,1.85,21.8,11.4,3.0,0.9,0.62,2.48
Alperen Şengün,HOU,C/PF,16,45.122,68.7,31.5,0.5224,15.21,0.7005,5.26,0.53,20.11,9.77,5.92,1.16,0.96,2.82
